"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 19 14:29:13 UTC 2026","Mon Jan 19 14:29:13 UTC 2026","46","QE 2.0 Intelligent Release Suite","API Tests","tests.api.ReqResApiTests","tests.api.ReqResApiTests","loginUnsuccessful","Login unsuccessful",""
"passed","Mon Jan 19 14:28:51 UTC 2026","Mon Jan 19 14:28:51 UTC 2026","593","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:28:53 UTC 2026","Mon Jan 19 14:28:53 UTC 2026","294","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:04 UTC 2026","Mon Jan 19 14:29:04 UTC 2026","299","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"skipped","Mon Jan 19 14:29:12 UTC 2026","Mon Jan 19 14:29:13 UTC 2026","618","QE 2.0 Intelligent Release Suite","API Tests","tests.api.ReqResApiTests","tests.api.ReqResApiTests","createUserMissingName","Create user with missing name",""
"passed","Mon Jan 19 14:29:06 UTC 2026","Mon Jan 19 14:29:06 UTC 2026","258","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"skipped","Mon Jan 19 14:29:13 UTC 2026","Mon Jan 19 14:29:13 UTC 2026","40","QE 2.0 Intelligent Release Suite","API Tests","tests.api.ReqResApiTests","tests.api.ReqResApiTests","updateUserTest","Update user",""
"skipped","Mon Jan 19 14:29:13 UTC 2026","Mon Jan 19 14:29:13 UTC 2026","63","QE 2.0 Intelligent Release Suite","API Tests","tests.api.ReqResApiTests","tests.api.ReqResApiTests","delayedResponseTest","Delayed response test",""
"passed","Mon Jan 19 14:29:11 UTC 2026","Mon Jan 19 14:29:11 UTC 2026","281","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:08 UTC 2026","Mon Jan 19 14:29:09 UTC 2026","292","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:09 UTC 2026","Mon Jan 19 14:29:09 UTC 2026","276","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:07 UTC 2026","Mon Jan 19 14:29:07 UTC 2026","264","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:00 UTC 2026","Mon Jan 19 14:29:01 UTC 2026","323","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:29:03 UTC 2026","Mon Jan 19 14:29:03 UTC 2026","304","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Mon Jan 19 14:28:54 UTC 2026","Mon Jan 19 14:28:59 UTC 2026","5319","QE 2.0 Intelligent Release Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"skipped","Mon Jan 19 14:29:13 UTC 2026","Mon Jan 19 14:29:13 UTC 2026","48","QE 2.0 Intelligent Release Suite","API Tests","tests.api.ReqResTests","tests.api.ReqResTests","getUserTest","Get User API Test",""
